observation_url,id,row_id,username,hotspot,event,observed,municipality,observation_notes,___Arthropod_group,___Arthropod_taxon,___Quantity,___Body_length_(mm),___Developmental_stage,___Activity,___Review_(Admin_Only),___Survey_duration_(mn),__Host_folivory_type_(pick_all_that_applies),__Weather,____Temperature_(C),____Windspeed__Beaufort_Scale_,___Host_plant_phenology,___Host_plant_species,___Host_folivory_score,_____Species_ID_confidence_level_(for_set_of_records)_(%),___Is_the_host_plant_wet_,___Host_plant_photoshoot,___Survey_method,___Time_of_survey,___Humidity_(%),__Track_type,__Sign_of_activity_,___Track_photoshoot
https://www.anecdata.org/posts/view/265862,265862,613508,claire_2,,,2024-06-25 09:30:42+0000,Somerville,A dense square meter of the host.,Beetles,Anomala orientalis,1,12,Adult,Vigilant,,10,Margin-feeding // Hole-feeding,Sunny,25,3 (8-12 mph or 12-19 kmh),Flowers or flower buds // Open flowers // Mature leaf,Hydrangea quercifolia (oakleaf hydrangea),Trace (1-5%),95,No,,Area search,9:31:32,55,,,
https://www.anecdata.org/posts/view/265862,265862,613507,claire_2,,,2024-06-25 09:30:42+0000,Somerville,A dense square meter of the host.,Flies,,1,3,Adult,Vigilant,,10,Margin-feeding // Hole-feeding,Sunny,25,3 (8-12 mph or 12-19 kmh),Flowers or flower buds // Open flowers // Mature leaf,Hydrangea quercifolia (oakleaf hydrangea),Trace (1-5%),95,No,,Area search,9:31:32,55,,,
https://www.anecdata.org/posts/view/265862,265862,613506,claire_2,,,2024-06-25 09:30:42+0000,Somerville,A dense square meter of the host.,Ants,,2,5,Adult,Moving,,10,Margin-feeding // Hole-feeding,Sunny,25,3 (8-12 mph or 12-19 kmh),Flowers or flower buds // Open flowers // Mature leaf,Hydrangea quercifolia (oakleaf hydrangea),Trace (1-5%),95,No,,Area search,9:31:32,55,,,
https://www.anecdata.org/posts/view/265862,265862,613505,claire_2,,,2024-06-25 09:30:42+0000,Somerville,A dense square meter of the host.,"Bees, Wasps, and Sawflies",Apis mellifera (honey bee),4,14,Adult,Foraging,,10,Margin-feeding // Hole-feeding,Sunny,25,3 (8-12 mph or 12-19 kmh),Flowers or flower buds // Open flowers // Mature leaf,Hydrangea quercifolia (oakleaf hydrangea),Trace (1-5%),95,No,,Area search,9:31:32,55,,,
https://www.anecdata.org/posts/view/265862,265862,613504,claire_2,,,2024-06-25 09:30:42+0000,Somerville,A dense square meter of the host.,"Bees, Wasps, and Sawflies",Bombus griseocollis,3,14,Adult,Foraging,,10,Margin-feeding // Hole-feeding,Sunny,25,3 (8-12 mph or 12-19 kmh),Flowers or flower buds // Open flowers // Mature leaf,Hydrangea quercifolia (oakleaf hydrangea),Trace (1-5%),95,No,,Area search,9:31:32,55,,,
https://www.anecdata.org/posts/view/265862,265862,613503,claire_2,,,2024-06-25 09:30:42+0000,Somerville,A dense square meter of the host.,"Bees, Wasps, and Sawflies",Bombus (bumble bees),2,14,Adult,Foraging,,10,Margin-feeding // Hole-feeding,Sunny,25,3 (8-12 mph or 12-19 kmh),Flowers or flower buds // Open flowers // Mature leaf,Hydrangea quercifolia (oakleaf hydrangea),Trace (1-5%),95,No,,Area search,9:31:32,55,,,
https://www.anecdata.org/posts/view/265862,265862,613502,claire_2,,,2024-06-25 09:30:42+0000,Somerville,A dense square meter of the host.,"Bees, Wasps, and Sawflies",Augochlora,1,7,Adult,Foraging,,10,Margin-feeding // Hole-feeding,Sunny,25,3 (8-12 mph or 12-19 kmh),Flowers or flower buds // Open flowers // Mature leaf,Hydrangea quercifolia (oakleaf hydrangea),Trace (1-5%),95,No,,Area search,9:31:32,55,,,
https://www.anecdata.org/posts/view/265860,265860,613500,jamestague,,,2024-06-25 08:39:57+0000,Cambridge,,"Bees, Wasps, and Sawflies",Anthidium manicatum ,1,20,Adult,Feeding,,,,,,,Flowers or flower buds // Open flowers // Mature leaf,Stachys byzantina (woolly hedgenettle),,,No,/img/uploads/posts/2024-06-25/_apu_2024-06-25_1719319818_756636779-1719319271779-jpeg-1.jpeg,Incidental,8:40:14,,,,
https://www.anecdata.org/posts/view/265837,265837,613410,jamestague,,,2024-06-24 16:21:59+0000,Cambridge,,Flies,Eristalis transversa,1,5,Adult,Foraging,,,,,,,Flowers or flower buds // Open flowers // Mature leaf,Cirsium arvense (creeping thistle),,,No,,Transect,15:40,,,,
https://www.anecdata.org/posts/view/265836,265836,613409,jamestague,,,2024-06-24 16:18:11+0000,Cambridge,,Beetles,Popillia japonica,2,4,Adult,Mating,,,,,,,Flowers or flower buds // Open flowers // Mature leaf,,,,No,/img/uploads/posts/2024-06-24/_apu_2024-06-24_1719260478_1337252805-1719260357925-jpeg-1.jpeg,Transect,15:40,,,,
https://www.anecdata.org/posts/view/265822,265822,613393,kateestrop,,,2024-06-24 15:24:19+0000,Cambridge,,"Grasshoppers, Crickets, and Katydids",Melanoplus,1,10,Immature,,,,,,,,Increasing leaf size,Parthenocissus quinquefolia (American ivy),,,No,,Transect,15:24:24,,,,
https://www.anecdata.org/posts/view/265820,265820,613395,jamestague,,,2024-06-24 15:19:17+0000,Lexington,,Aphids and Allies,Plagiognathus obscurus (obscure plant bug),1,3,Adult,Vigilant,,,,,,,Increasing leaf size // Mature leaf,Solidago (goldenrod),,,No,/img/uploads/posts/2024-06-24/_apu_2024-06-24_1719256973_832265770-1719256802102-jpeg-1.jpeg,Transect,15:19:27,,,,
https://www.anecdata.org/posts/view/265820,265820,613394,jamestague,,,2024-06-24 15:19:17+0000,Lexington,,"Cicadas, Leafhoppers, and Treehoppers",Meadow spittlebug,1,2,Adult,Vigilant,,,,,,,Increasing leaf size // Mature leaf,Solidago (goldenrod),,,No,/img/uploads/posts/2024-06-24/_apu_2024-06-24_1719256973_832265770-1719256802102-jpeg-1.jpeg,Transect,15:19:27,,,,
https://www.anecdata.org/posts/view/265820,265820,613386,jamestague,,,2024-06-24 15:19:17+0000,Lexington,,"Cicadas, Leafhoppers, and Treehoppers",Meadow spittlebug,1,2,Adult,Vigilant,,,,,,,Increasing leaf size // Mature leaf,Solidago (goldenrod),,,No,/img/uploads/posts/2024-06-24/_apu_2024-06-24_1719256973_832265770-1719256802102-jpeg-1.jpeg,Transect,15:19:27,,,,
https://www.anecdata.org/posts/view/265819,265819,613385,jamestague,,,2024-06-24 15:08:21+0000,Cambridge,,Beetles,Coccinellidae,1,3,Adult,Moving,,,,,,,Mature leaf,Betula nigra (river birch),,,No,,Incidental,14:15,,,,
https://www.anecdata.org/posts/view/265818,265818,613384,kateestrop,,,2024-06-24 15:08:37+0000,Cambridge,,Flies,Condylostylus,1,5,Adult,,,,,,,,Increasing leaf size,Rubus (blackberry),,,No,,Transect,15:08:42,,,,
https://www.anecdata.org/posts/view/265817,265817,613383,kateestrop,,,2024-06-24 14:56:14+0000,Cambridge,,Spiders,Misumessus oblongus,1,4,Adult,Preying upon,,,,,,,Mature leaf,Quercus bicolor (swamp white oak),,,No,,Transect,14:56:19,,,,
https://www.anecdata.org/posts/view/265816,265816,613382,kateestrop,,,2024-06-24 14:52:01+0000,Cambridge,,True Bugs,Poecilocapsus lineatus (fourlined plant bug),1,5,Adult,,,,,,,,Increasing leaf size,Rumex (dock),,,No,,Transect,14:52:06,,,,
https://www.anecdata.org/posts/view/265813,265813,613379,kateestrop,,,2024-06-24 14:32:05+0000,Brookline,,"Cicadas, Leafhoppers, and Treehoppers",,1,3,Adult,,,,,,,,Increasing leaf size,Betula nigra (river birch),,,No,,Area search,14:35:35,,,,
https://www.anecdata.org/posts/view/265813,265813,613378,kateestrop,,,2024-06-24 14:32:05+0000,Brookline,,True Bugs,,1,3,Adult,,,,,,,,Increasing leaf size,Betula nigra (river birch),,,No,,Area search,14:35:35,,,,
https://www.anecdata.org/posts/view/265813,265813,613377,kateestrop,,,2024-06-24 14:32:05+0000,Brookline,,True Bugs,,1,2,Nymph,,,,,,,,Increasing leaf size,Betula nigra (river birch),,,No,,Area search,14:35:35,,,,
https://www.anecdata.org/posts/view/265813,265813,613376,kateestrop,,,2024-06-24 14:32:05+0000,Brookline,,Beetles,,1,5,Adult,,,,,,,,Increasing leaf size,Betula nigra (river birch),,,No,,Area search,14:35:35,,,,
https://www.anecdata.org/posts/view/265813,265813,613375,kateestrop,,,2024-06-24 14:32:05+0000,Brookline,,"Bees, Wasps, and Sawflies",,2,5,Adult,Mating,,,,,,,Increasing leaf size,Betula nigra (river birch),,,No,,Area search,14:35:35,,,,
https://www.anecdata.org/posts/view/265756,265756,613255,jillbrogan,,,2024-06-24 10:28:38+0000,Medford,,Moths and Butterflies,Malacosoma americanum (eastern tent caterpillar),8,7,"Egg, eggsac, or egg mass",Dormant or diapausing,Reviewed (CO),,,,,,Mature leaf // Other - please name or describe: second flush of leaves ,Prunus serotina (black cherry),,,No,/img/uploads/posts/2024-06-24/_apu_2024-06-24_1719239650_JPEG_20240624_103237_2694604858298926172-jpg-1.jpeg,Walking,10:28,,,,
https://www.anecdata.org/posts/view/265696,265696,613026,saundeae,,,2024-06-23 13:45:20+0000,Hartford,Unsure of activity. Could have been feeding or resting. Body length difficult to discern due to wings.,Moths and Butterflies,Megalographa biloba,1,16,Adult,,"Asking for clarifications: CO: Asking about the host plant. Set arthropod to sp from genus + increased length to 16 from 10, and added 'vigilant' activity.",,,,,,Flowers or flower buds // Open flowers // Mature leaf,Lonicera (honeysuckle),,,No,"/img/uploads/posts/2024-06-24/_apu_2024-06-24_1719266190_photo-47-jpg-1.jpeg,/img/uploads/posts/2024-06-24/_apu_2024-06-24_1719266193_photo-48-jpg-1.jpeg,/img/uploads/posts/2024-06-24/_apu_2024-06-24_1719266196_photo-49-jpg-1.jpeg",Incidental,13:14,,,,
https://www.anecdata.org/posts/view/265695,265695,613025,saundeae,,,2024-06-23 13:06:00+0000,Newington,"2 pairs of the beetles, at least one pair was mating",Flies,Toxomerus,2,5,Adult,Moving,"Sp. ID in progress: CO: Hard to tell from this angle, a shot of the dorsal would help (not that they stay in place)",,,,,,Flowers or flower buds // Open flowers // Mature leaf,Spiraea japonica (Japanese meadowsweet),,,No,,Incidental,13:06,,,,
https://www.anecdata.org/posts/view/265695,265695,613024,saundeae,,,2024-06-23 13:06:00+0000,Newington,"2 pairs of the beetles, at least one pair was mating",Beetles,Popillia japonica,4,8,Adult,Mating,"Reviewed (CO): Set to species / Note that ideally you would split that record: one for the mating ones, one for the other ones - assuming there all more or less the same length, same stage, etc.",,,,,,Flowers or flower buds // Open flowers // Mature leaf,Spiraea japonica (Japanese meadowsweet),,,No,,Incidental,13:06,,,,
https://www.anecdata.org/posts/view/265660,265660,612928,saundeae,,,2024-06-22 14:50:00+0000,East Hartford,"Host plant is Coreopsis cultivar, most likely a hybrid.",Flies,,1,5,Adult,Resting,,,,,,,Flowers or flower buds // Open flowers // Mature leaf,Coreopsis (tickseed),,,No,"/img/uploads/posts/2024-06-25/_apu_2024-06-25_1719274884_photo-50-jpg-1.jpeg,/img/uploads/posts/2024-06-25/_apu_2024-06-25_1719274886_photo-51-jpg-1.jpeg,/img/uploads/posts/2024-06-25/_apu_2024-06-25_1719274887_photo-52-jpg-1.jpeg",Incidental,14:50,,,,
https://www.anecdata.org/posts/view/265660,265660,612927,saundeae,,,2024-06-22 14:50:00+0000,East Hartford,"Host plant is Coreopsis cultivar, most likely a hybrid.","Bees, Wasps, and Sawflies",,1,7,Adult,Foraging,Asking for clarifications: CO: Asking about the host (other shots to get to the ID keys?) Could it be Coreopsis tinctoria?,,,,,,Flowers or flower buds // Open flowers // Mature leaf,Coreopsis (tickseed),,,No,"/img/uploads/posts/2024-06-25/_apu_2024-06-25_1719274884_photo-50-jpg-1.jpeg,/img/uploads/posts/2024-06-25/_apu_2024-06-25_1719274886_photo-51-jpg-1.jpeg,/img/uploads/posts/2024-06-25/_apu_2024-06-25_1719274887_photo-52-jpg-1.jpeg",Incidental,14:50,,,,
https://www.anecdata.org/posts/view/265659,265659,612923,saundeae,,,2024-06-22 14:42:00+0000,Newington,,Flies,Condylostylus,1,4,Adult,Resting,Sp. ID in progress: CO,,,,,,Flowers or flower buds // Open flowers // Mature leaf,Asclepias syriaca (common milkweed),,,No,/img/uploads/posts/2024-06-22/_apu_2024-06-22_1719097686_photo-33-jpg-1.jpeg,Incidental,14:42,,,,
https://www.anecdata.org/posts/view/265659,265659,612926,saundeae,,,2024-06-22 14:42:00+0000,Newington,,Flies,Condylostylus,1,4,Adult,Resting,Sp. ID in progress: CO,,,,,,Flowers or flower buds // Open flowers // Mature leaf,Asclepias syriaca (common milkweed),,,No,/img/uploads/posts/2024-06-22/_apu_2024-06-22_1719097686_photo-33-jpg-1.jpeg,Incidental,14:42,,,,
https://www.anecdata.org/posts/view/265659,265659,612925,saundeae,,,2024-06-22 14:42:00+0000,Newington,,"Bees, Wasps, and Sawflies",Hylaeus,1,7,Adult,Resting,Sp. ID in progress: CO: Length might be slighlty smaller than 7 (assessed in relation to host vein pattern),,,,,,Flowers or flower buds // Open flowers // Mature leaf,Asclepias syriaca (common milkweed),,,No,/img/uploads/posts/2024-06-22/_apu_2024-06-22_1719097686_photo-33-jpg-1.jpeg,Incidental,14:42,,,,
https://www.anecdata.org/posts/view/265659,265659,612924,saundeae,,,2024-06-22 14:42:00+0000,Newington,,Beetles,Harmonia axyridis,1,3,Adult,Resting,Reviewed (CO): Set arthropod to sp + adjusted length from 3 to 5 (assessed in relation to flower) Note that H. axyridis's body length range is 4–7 mm.,,,,,,Flowers or flower buds // Open flowers // Mature leaf,Asclepias syriaca (common milkweed),,,No,/img/uploads/posts/2024-06-22/_apu_2024-06-22_1719097686_photo-33-jpg-1.jpeg,Incidental,14:42,,,,
https://www.anecdata.org/posts/view/265659,265659,612922,saundeae,,,2024-06-22 14:42:00+0000,Newington,,"Bees, Wasps, and Sawflies",Bombus griseocollis,3,14,Adult,Feeding,Reviewed (CO): Set host to sp.,,,,,,Flowers or flower buds // Open flowers // Mature leaf,Asclepias syriaca (common milkweed),,,No,/img/uploads/posts/2024-06-22/_apu_2024-06-22_1719097686_photo-33-jpg-1.jpeg,Incidental,14:42,,,,
https://www.anecdata.org/posts/view/265558,265558,612652,claire_2,,,2024-06-21 15:58:14+0000,Somerville,EwA iNat records at https://tinyurl.com/4j2nxjry,"Bees, Wasps, and Sawflies",Anthidium manicatum,1,13,Adult,Resting,Reviewed (AS),10,Margin-feeding // Hole-feeding,Partly/mostly sunny,26,3 (8-12 mph or 12-19 kmh),Flowers or flower buds // Open flowers // Mature leaf,Asclepias syriaca (common milkweed),Light (6-10%),95,No,,Area search,15:58:50,56,,,
https://www.anecdata.org/posts/view/265558,265558,612649,claire_2,,,2024-06-21 15:58:14+0000,Somerville,EwA iNat records at https://tinyurl.com/4j2nxjry,"Bees, Wasps, and Sawflies",Bombus griseocollis,1,17,Adult,Moving,Reviewed (AS),10,Margin-feeding // Hole-feeding,Partly/mostly sunny,26,3 (8-12 mph or 12-19 kmh),Flowers or flower buds // Open flowers // Mature leaf,Asclepias syriaca (common milkweed),Light (6-10%),95,No,,Area search,15:58:50,56,,,
https://www.anecdata.org/posts/view/265558,265558,612648,claire_2,,,2024-06-21 15:58:14+0000,Somerville,EwA iNat records at https://tinyurl.com/4j2nxjry,Beetles,Harmonia axyridis,1,5,Adult,Moving,Reviewed (AS),10,Margin-feeding // Hole-feeding,Partly/mostly sunny,26,3 (8-12 mph or 12-19 kmh),Flowers or flower buds // Open flowers // Mature leaf,Asclepias syriaca (common milkweed),Light (6-10%),95,No,,Area search,15:58:50,56,,,
https://www.anecdata.org/posts/view/265558,265558,612647,claire_2,,,2024-06-21 15:58:14+0000,Somerville,EwA iNat records at https://tinyurl.com/4j2nxjry,Flies,Lucilia,1,7,Adult,Moving,Sp. ID in progress: AS,10,Margin-feeding // Hole-feeding,Partly/mostly sunny,26,3 (8-12 mph or 12-19 kmh),Flowers or flower buds // Open flowers // Mature leaf,Asclepias syriaca (common milkweed),Light (6-10%),95,No,,Area search,15:58:50,56,,,
https://www.anecdata.org/posts/view/265558,265558,612646,claire_2,,,2024-06-21 15:58:14+0000,Somerville,EwA iNat records at https://tinyurl.com/4j2nxjry,"Bees, Wasps, and Sawflies",Apis mellifera (honey bee),2,14,Adult,Foraging,Reviewed (AS),10,Margin-feeding // Hole-feeding,Partly/mostly sunny,26,3 (8-12 mph or 12-19 kmh),Flowers or flower buds // Open flowers // Mature leaf,Asclepias syriaca (common milkweed),Light (6-10%),95,No,,Area search,15:58:50,56,,,
https://www.anecdata.org/posts/view/265558,265558,612645,claire_2,,,2024-06-21 15:58:14+0000,Somerville,EwA iNat records at https://tinyurl.com/4j2nxjry,Moths and Butterflies,Danaus plexippus (Monarch),1,50,Larva or caterpillar,Resting,Reviewed (AS),10,Margin-feeding // Hole-feeding,Partly/mostly sunny,26,3 (8-12 mph or 12-19 kmh),Flowers or flower buds // Open flowers // Mature leaf,Asclepias syriaca (common milkweed),Light (6-10%),95,No,,Area search,15:58:50,56,,,
https://www.anecdata.org/posts/view/265549,265549,612631,saundeae,,,2024-06-21 14:27:00+0000,Wethersfield,,Flies,Toxomerus marginatus,1,5,Adult,Resting,,,,,,,Flowers or flower buds // Mature leaf,Melissa officinalis (common balm),,,No,,Incidental,14:27,,,,
https://www.anecdata.org/posts/view/265548,265548,612630,saundeae,,,2024-06-21 15:43:34+0000,Wethersfield,Not certain of rudbeckia sp. Will update when it blooms :),Lacewings and Owlflies,Micromus posticus,1,5,Adult,Resting,,,,,,,Mature leaf,Rudbeckia triloba (brown eyed susan),,,No,,Incidental,14:20,,,,
https://www.anecdata.org/posts/view/265548,265548,612629,saundeae,,,2024-06-21 15:43:34+0000,Wethersfield,Not certain of rudbeckia sp. Will update when it blooms :),Beetles,Propylaea quatuordecimpunctata,1,4,Adult,Resting,,,,,,,Mature leaf,Rudbeckia triloba (brown eyed susan),,,No,,Incidental,14:20,,,,
https://www.anecdata.org/posts/view/265545,265545,612625,saundeae,,,2024-06-21 15:32:57+0000,Hartford,,"Bees, Wasps, and Sawflies",Ceratina,1,7,Adult,Foraging,,,,,,,Flowers or flower buds // Open flowers // Mature leaf,Achillea millefolium (bloodwort),,,No,,Incidental,14:17,,,,
https://www.anecdata.org/posts/view/265545,265545,612624,saundeae,,,2024-06-21 15:32:57+0000,Hartford,,Harvestman,Opiliones (daddy longlegs),1,4,Adult,Resting,,,,,,,Flowers or flower buds // Open flowers // Mature leaf,Achillea millefolium (bloodwort),,,No,,Incidental,14:17,,,,
https://www.anecdata.org/posts/view/265545,265545,612623,saundeae,,,2024-06-21 15:32:57+0000,Hartford,,Moths and Butterflies,Lepidoptera (butterflies),1,15,Larva or caterpillar,Feeding,,,,,,,Flowers or flower buds // Open flowers // Mature leaf,Achillea millefolium (bloodwort),,,No,,Incidental,14:17,,,,
https://www.anecdata.org/posts/view/265534,265534,612587,kristiandemary,,,2024-06-21 11:44:55+0000,Cambridge,"Smaller milkweed beetle might be a male, larger one might be female","Bees, Wasps, and Sawflies",Apis mellifera (honey bee),2,12,Adult,Foraging,Reviewed (CO),,,,,,Flowers or flower buds // Open flowers // Mature leaf,Asclepias syriaca (common milkweed),,,No,/img/uploads/posts/2024-06-21/_apu_2024-06-21_1718984802_1000030366-1718984713131-jpeg-1.jpeg,Area search,11:45:01,,,,
https://www.anecdata.org/posts/view/265534,265534,612588,kristiandemary,,,2024-06-21 11:44:55+0000,Cambridge,"Smaller milkweed beetle might be a male, larger one might be female",Beetles,Tetraopes tetrophthalmus (red milkweed beetle),1,10,Adult,Moving,Reviewed (CO),,,,,,Flowers or flower buds // Open flowers // Mature leaf,Asclepias syriaca (common milkweed),,,No,/img/uploads/posts/2024-06-21/_apu_2024-06-21_1718984802_1000030366-1718984713131-jpeg-1.jpeg,Area search,11:45:01,,,,
https://www.anecdata.org/posts/view/265534,265534,612591,kristiandemary,,,2024-06-21 11:44:55+0000,Cambridge,"Smaller milkweed beetle might be a male, larger one might be female",Beetles,Tetraopes tetrophthalmus (red milkweed beetle),1,13,Adult,Resting,Reviewed (CO),,,,,,Flowers or flower buds // Open flowers // Mature leaf,Asclepias syriaca (common milkweed),,,No,/img/uploads/posts/2024-06-21/_apu_2024-06-21_1718984802_1000030366-1718984713131-jpeg-1.jpeg,Area search,11:45:01,,,,
https://www.anecdata.org/posts/view/265519,265519,612530,lincolnellsworth,,,2024-06-21 10:39:52+0000,Somerville,,"Cicadas, Leafhoppers, and Treehoppers",Cicadellidae (cicadellids),1,4,Adult,Resting,Sp. ID in progress: CO: Corrected Arthropod group from flies to leafhopper + refined taxon to Cicadellidae,,,,,,Mature leaf,Quercus rubra (northern red oak),,,Yes,,Area search,10:43:55,,,,
https://www.anecdata.org/posts/view/265519,265519,612529,lincolnellsworth,,,2024-06-21 10:39:52+0000,Somerville,,Flies,,2,3,Adult,Resting,Sp. ID in progress: CO: Corrected Arthropod group from planthopper to flies,,,,,,Mature leaf,Quercus rubra (northern red oak),,,Yes,,Area search,10:43:55,,,,
https://www.anecdata.org/posts/view/265517,265517,612526,lincolnellsworth,,,2024-06-21 10:29:00+0000,Winchester,,Moths and Butterflies,Geometridae (cankerworms),1,4,Larva or caterpillar,Resting,Sp. ID in progress: CO: Set taxon to Geometridae,,,,,,Fruiting // Mature leaf,Sassafras albidum (sassafras),,,Yes,"/img/uploads/posts/2024-06-21/_apu_2024-06-21_1718980474_photo-21-jpg-1.jpeg,/img/uploads/posts/2024-06-21/_apu_2024-06-21_1718980479_photo-22-jpg-1.jpeg,/img/uploads/posts/2024-06-21/_apu_2024-06-21_1718980484_photo-23-jpg-1.jpeg",Area search,10:29:05,,,,
https://www.anecdata.org/posts/view/265517,265517,612525,lincolnellsworth,,,2024-06-21 10:29:00+0000,Winchester,,Aphids and Allies,,1,2,Adult,Moving,Sp. ID in progress: CO: Corrected group from Flies to Aphids and allies,,,,,,Fruiting // Mature leaf,Sassafras albidum (sassafras),,,Yes,"/img/uploads/posts/2024-06-21/_apu_2024-06-21_1718980474_photo-21-jpg-1.jpeg,/img/uploads/posts/2024-06-21/_apu_2024-06-21_1718980479_photo-22-jpg-1.jpeg,/img/uploads/posts/2024-06-21/_apu_2024-06-21_1718980484_photo-23-jpg-1.jpeg",Area search,10:29:05,,,,
https://www.anecdata.org/posts/view/265517,265517,612524,lincolnellsworth,,,2024-06-21 10:29:00+0000,Winchester,,Beetles,Elateridae (click beetles),1,10,Adult,Resting,Sp. ID in progress: CO: Set host to sp + Refined arthropod to family,,,,,,Fruiting // Mature leaf,Sassafras albidum (sassafras),,,Yes,"/img/uploads/posts/2024-06-21/_apu_2024-06-21_1718980474_photo-21-jpg-1.jpeg,/img/uploads/posts/2024-06-21/_apu_2024-06-21_1718980479_photo-22-jpg-1.jpeg,/img/uploads/posts/2024-06-21/_apu_2024-06-21_1718980484_photo-23-jpg-1.jpeg",Area search,10:29:05,,,,
https://www.anecdata.org/posts/view/265513,265513,612515,lincolnellsworth,,,2024-06-21 10:05:33+0000,Winchester,,,Lepidoptera (butterflies),,,,,,,,,,,Mature leaf,Quercus alba (white oak),,,Yes,,Area search,10:05:36,,,,
https://www.anecdata.org/posts/view/265512,265512,612514,claire_2,,,2024-06-21 09:53:40+0000,Winchester,,Moths and Butterflies,,1,,,,,,,,,,Mature leaf,Quercus alba (white oak),,,Yes,,Walking,9:53:52,,Cocoon,Yes,/img/uploads/posts/2024-06-21/_apu_2024-06-21_1718978147_21154336-1718978117923-jpeg-1.jpeg
https://www.anecdata.org/posts/view/265510,265510,612512,lincolnellsworth,,,2024-06-21 09:48:50+0000,Medford,,Beetles,,2,,,,,,,,,,Mature leaf,Quercus rubra (northern red oak),,,Yes,/img/uploads/posts/2024-06-21/_apu_2024-06-21_1718977959_photo-17-jpg-1.jpeg,Area search,9:49:07,,Leaf shelter,No,/img/uploads/posts/2024-06-21/_apu_2024-06-21_1718977966_photo-16-jpg-1.jpeg
https://www.anecdata.org/posts/view/265509,265509,612511,lincolnellsworth,,,2024-06-21 09:31:57+0000,Winchester,,Flies,,1,4,Adult,Moving,,,,,,,Mature leaf,Quercus rubra (northern red oak),,,Yes,/img/uploads/posts/2024-06-21/_apu_2024-06-21_1718977271_photo-9-jpg-1.jpeg,Transect,9:32:04,,,,
https://www.anecdata.org/posts/view/265509,265509,612510,lincolnellsworth,,,2024-06-21 09:31:57+0000,Winchester,,Ants,,1,4,Adult,Moving,,,,,,,Mature leaf,Quercus rubra (northern red oak),,,Yes,/img/uploads/posts/2024-06-21/_apu_2024-06-21_1718977271_photo-9-jpg-1.jpeg,Transect,9:32:04,,,,
https://www.anecdata.org/posts/view/265509,265509,612509,lincolnellsworth,,,2024-06-21 09:31:57+0000,Winchester,,"Bees, Wasps, and Sawflies",,1,4,Adult,Moving,,,,,,,Mature leaf,Quercus rubra (northern red oak),,,Yes,/img/uploads/posts/2024-06-21/_apu_2024-06-21_1718977271_photo-9-jpg-1.jpeg,Transect,9:32:04,,,,
https://www.anecdata.org/posts/view/265509,265509,612508,lincolnellsworth,,,2024-06-21 09:31:57+0000,Winchester,,Flies,,2,4,Adult,Moving,,,,,,,Mature leaf,Quercus rubra (northern red oak),,,Yes,/img/uploads/posts/2024-06-21/_apu_2024-06-21_1718977271_photo-9-jpg-1.jpeg,Transect,9:32:04,,,,
https://www.anecdata.org/posts/view/265507,265507,612498,felixflax,,,2024-06-21 09:24:16+0000,Newton,,"Bees, Wasps, and Sawflies",Apoidea (apoid wasps),4,13,Adult,Foraging,,,,,,,Flowers or flower buds // Open flowers // Mature leaf,Viburnum (viburnum),,,Yes,/img/uploads/posts/2024-06-21/_apu_2024-06-21_1718976565_JPEG_20240621_092422_5121834805888162304-jpg-1.jpeg,Walking,9:24:20,,,,
https://www.anecdata.org/posts/view/265507,265507,612497,felixflax,,,2024-06-21 09:24:16+0000,Newton,,Flies,Syrphidae (syrphes),1,7,Adult,,,,,,,,Flowers or flower buds // Open flowers // Mature leaf,Viburnum (viburnum),,,Yes,/img/uploads/posts/2024-06-21/_apu_2024-06-21_1718976565_JPEG_20240621_092422_5121834805888162304-jpg-1.jpeg,Walking,9:24:20,,,,
https://www.anecdata.org/posts/view/265507,265507,612496,felixflax,,,2024-06-21 09:24:16+0000,Newton,,"Bees, Wasps, and Sawflies",Apoidea (apoid wasps),1,13,Adult,Foraging,,,,,,,Flowers or flower buds // Open flowers // Mature leaf,Viburnum (viburnum),,,Yes,/img/uploads/posts/2024-06-21/_apu_2024-06-21_1718976565_JPEG_20240621_092422_5121834805888162304-jpg-1.jpeg,Walking,9:24:20,,,,
https://www.anecdata.org/posts/view/265503,265503,612481,lincolnellsworth,,,2024-06-21 09:23:02+0000,Winchester,,Flies,,1,9,Adult,Moving,,,,,,,Mature leaf,Quercus rubra (northern red oak),,,Yes,/img/uploads/posts/2024-06-21/_apu_2024-06-21_1718976314_photo-6-jpg-1.jpeg,Transect,9:23:11,,,,
https://www.anecdata.org/posts/view/265502,265502,612480,lincolnellsworth,,,2024-06-21 09:19:23+0000,Winchester,,Flies,,1,4,Adult,Moving,,,,,,,Mature leaf,Quercus rubra (northern red oak),,,Yes,/img/uploads/posts/2024-06-21/_apu_2024-06-21_1718976185_photo-5-jpg-1.jpeg,Transect,9:19:34,,,,
